Year,County,YIELD
2017,NORTHUMBERLAND,149.3
2017,WESTMORELAND,153.9
2017,FAUQUIER,151.4
2017,ROCKINGHAM,169
2017,SOUTHAMPTON,151.5
2017,SUFFOLK CITY,142.2
2017,FRANKLIN,120.5
2017,AUGUSTA,146
2016,ACCOMACK,158.4
2016,ESSEX,130.2
2016,NORTHUMBERLAND,139.5
2016,WESTMORELAND,137
2016,FAUQUIER,165.8
2016,ROCKINGHAM,163.2
2016,SOUTHAMPTON,144.9
2016,SUFFOLK CITY,131.5
2016,FRANKLIN,147.5
2016,AUGUSTA,168.8
2015,ACCOMACK,173.7
2015,ESSEX,160.6
2015,NORTHUMBERLAND,178.9
2015,WESTMORELAND,166.5
2015,FAUQUIER,159.8
2015,ROCKINGHAM,167.6
2015,SUFFOLK CITY,135.7
2015,FRANKLIN,149
2015,AUGUSTA,155.9
2014,ACCOMACK,175
2014,ESSEX,127.2
2014,NORTHUMBERLAND,144
2014,WESTMORELAND,132.6
2014,FAUQUIER,168.1
2014,ROCKINGHAM,178.7
2014,SUFFOLK CITY,125.6
2014,FRANKLIN,151.7
2014,AUGUSTA,146.4
2013,ACCOMACK,177.1
2013,ESSEX,166.9
2013,NORTHUMBERLAND,158.4
2013,WESTMORELAND,162.4
2013,FAUQUIER,167.8
2013,ROCKINGHAM,184.6
2013,SOUTHAMPTON,145.6
2013,SUFFOLK CITY,144.4
2013,FRANKLIN,137.2
2012,ACCOMACK,117.6
2012,ESSEX,58.5
2012,NORTHUMBERLAND,93.4
2012,WESTMORELAND,46.2
2012,FAUQUIER,136.1
2012,ROCKINGHAM,142.9
2012,SOUTHAMPTON,106.7
2012,SUFFOLK CITY,93
2012,FRANKLIN,113.6
2012,AUGUSTA,140.3
2011,ACCOMACK,130.2
2011,ESSEX,145.3
2011,NORTHUMBERLAND,131.9
2011,WESTMORELAND,145.9
2011,FAUQUIER,100.7
2011,ROCKINGHAM,108.5
2011,SOUTHAMPTON,94.6
2011,SUFFOLK CITY,78.8
2011,FRANKLIN,103.1
2010,ACCOMACK,66.3
2010,ESSEX,37.6
2010,NORTHUMBERLAND,71.9
2010,WESTMORELAND,40.1
2010,FAUQUIER,97.9
2010,ROCKINGHAM,122.7
2010,SOUTHAMPTON,39.4
2010,SUFFOLK CITY,40.1
2010,FRANKLIN,76.9
2010,AUGUSTA,114.9
2009,ACCOMACK,145
2009,ESSEX,146
2009,NORTHUMBERLAND,163
2009,WESTMORELAND,145
2009,FAUQUIER,113
2009,ROCKINGHAM,139
2009,SOUTHAMPTON,118
2009,SUFFOLK CITY,96
2009,FRANKLIN,112
2009,AUGUSTA,135
2008,ACCOMACK,133
2008,ESSEX,130
2008,NORTHUMBERLAND,124
2008,WESTMORELAND,145
2008,FAUQUIER,114
2008,ROCKINGHAM,144
2008,SOUTHAMPTON,83
2008,SUFFOLK CITY,93
2008,FRANKLIN,71
2008,AUGUSTA,87
2007,ACCOMACK,118
2007,ESSEX,62
2007,NORTHUMBERLAND,61
2007,WESTMORELAND,52
2007,FAUQUIER,91
2007,ROCKINGHAM,120
2007,SOUTHAMPTON,56
2007,SUFFOLK CITY,73
2007,FRANKLIN,97
2007,AUGUSTA,114
2006,ACCOMACK,117
2006,ESSEX,133
2006,NORTHUMBERLAND,149
2006,WESTMORELAND,133
2006,FAUQUIER,98
2006,ROCKINGHAM,118
2006,SOUTHAMPTON,122
2006,SUFFOLK CITY,110
2006,FRANKLIN,91
2006,AUGUSTA,100
2005,ACCOMACK,123
2005,ESSEX,120
2005,NORTHUMBERLAND,144
2005,WESTMORELAND,149
2005,FAUQUIER,120
2005,ROCKINGHAM,129
2005,SOUTHAMPTON,82
2005,SUFFOLK CITY,104
2005,FRANKLIN,102
2005,AUGUSTA,115
2004,ACCOMACK,143
2004,ESSEX,161
2004,NORTHUMBERLAND,156
2004,WESTMORELAND,155
2004,FAUQUIER,131
2004,ROCKINGHAM,163
2004,SOUTHAMPTON,128
2004,SUFFOLK CITY,123
2004,FRANKLIN,129
2004,AUGUSTA,160
2003,ACCOMACK,134
2003,ESSEX,126
2003,NORTHUMBERLAND,127
2003,WESTMORELAND,138
2003,FAUQUIER,100
2003,ROCKINGHAM,122
2003,SOUTHAMPTON,102
2003,SUFFOLK CITY,90
2003,FRANKLIN,94
2003,AUGUSTA,112
2002,ACCOMACK,78
2002,ESSEX,64
2002,NORTHUMBERLAND,71
2002,WESTMORELAND,55
2002,FAUQUIER,96
2002,ROCKINGHAM,83
2002,SOUTHAMPTON,62
2002,SUFFOLK CITY,53
2002,FRANKLIN,64
2002,AUGUSTA,66
2001,ACCOMACK,135
2001,ESSEX,136
2001,NORTHUMBERLAND,140
2001,WESTMORELAND,140
2001,FAUQUIER,120
2001,ROCKINGHAM,135
2001,SOUTHAMPTON,116
2001,SUFFOLK CITY,120
2001,FRANKLIN,110
2001,AUGUSTA,117
2000,ACCOMACK,158
2000,ESSEX,155
2000,NORTHUMBERLAND,157
2000,WESTMORELAND,152
2000,FAUQUIER,133
2000,ROCKINGHAM,155
2000,SOUTHAMPTON,137
2000,SUFFOLK CITY,130
2000,FRANKLIN,120
2000,AUGUSTA,150
1999,ACCOMACK,102
1999,ESSEX,63
1999,NORTHUMBERLAND,97
1999,WESTMORELAND,46
1999,FAUQUIER,59
1999,ROCKINGHAM,55
1999,SOUTHAMPTON,99
1999,SUFFOLK CITY,85
1999,FRANKLIN,0
1999,AUGUSTA,79
1998,ACCOMACK,106
1998,ESSEX,84
1998,NORTHUMBERLAND,102
1998,WESTMORELAND,91
1998,FAUQUIER,73
1998,ROCKINGHAM,70
1998,SOUTHAMPTON,95
1998,SUFFOLK CITY,82
1998,FRANKLIN,79
1998,AUGUSTA,81
1997,ACCOMACK,108
1997,ESSEX,100
1997,NORTHUMBERLAND,118
1997,WESTMORELAND,110
1997,FAUQUIER,88
1997,ROCKINGHAM,107
1997,SOUTHAMPTON,73
1997,SUFFOLK CITY,67
1997,FRANKLIN,81
1997,AUGUSTA,103
1996,ACCOMACK,140
1996,ESSEX,150
1996,NORTHUMBERLAND,139
1996,WESTMORELAND,130
1996,FAUQUIER,110
1996,ROCKINGHAM,128
1996,SOUTHAMPTON,120
1996,SUFFOLK CITY,131
1996,FRANKLIN,90
1996,AUGUSTA,118
1995,ACCOMACK,122
1995,ESSEX,120
1995,NORTHUMBERLAND,137
1995,WESTMORELAND,138
1995,FAUQUIER,93
1995,ROCKINGHAM,120
1995,SOUTHAMPTON,119
1995,SUFFOLK CITY,84
1995,FRANKLIN,80
1995,AUGUSTA,96
1994,ACCOMACK,114
1994,ESSEX,119
1994,NORTHUMBERLAND,116
1994,WESTMORELAND,125
1994,FAUQUIER,123
1994,ROCKINGHAM,124
1994,SOUTHAMPTON,63
1994,SUFFOLK CITY,69
1994,FRANKLIN,98
1994,AUGUSTA,119
1993,ACCOMACK,64
1993,ESSEX,52
1993,NORTHUMBERLAND,46
1993,WESTMORELAND,49
1993,FAUQUIER,57
1993,ROCKINGHAM,80
1993,SOUTHAMPTON,60
1993,SUFFOLK CITY,57
1993,FRANKLIN,66
1993,AUGUSTA,47
1992,ACCOMACK,131
1992,ESSEX,123
1992,NORTHUMBERLAND,128
1992,WESTMORELAND,109
1992,FAUQUIER,115
1992,ROCKINGHAM,112
1992,SOUTHAMPTON,117
1992,SUFFOLK CITY,115
1992,FRANKLIN,88
1992,AUGUSTA,106
1991,ACCOMACK,74
1991,ESSEX,79
1991,NORTHUMBERLAND,92
1991,WESTMORELAND,67
1991,FAUQUIER,64
1991,ROCKINGHAM,124
1991,SOUTHAMPTON,88
1991,SUFFOLK CITY,86
1991,FRANKLIN,83
1991,AUGUSTA,117
1990,ACCOMACK,118
1990,ESSEX,109
1990,NORTHUMBERLAND,120
1990,WESTMORELAND,101
1990,FAUQUIER,104
1990,ROCKINGHAM,114
1990,SOUTHAMPTON,102
1990,SUFFOLK CITY,103
1990,FRANKLIN,81
1990,AUGUSTA,95
1989,ACCOMACK,120
1989,ESSEX,123
1989,NORTHUMBERLAND,119
1989,WESTMORELAND,119
1989,FAUQUIER,101
1989,ROCKINGHAM,115
1989,SOUTHAMPTON,113
1989,SUFFOLK CITY,116
1989,FRANKLIN,86
1989,AUGUSTA,110
1988,ACCOMACK,103
1988,ESSEX,69
1988,NORTHUMBERLAND,80
1988,WESTMORELAND,80
1988,FAUQUIER,64
1988,ROCKINGHAM,72
1988,SOUTHAMPTON,93
1988,SUFFOLK CITY,89
1988,FRANKLIN,84
1988,AUGUSTA,76
1987,ACCOMACK,89
1987,ESSEX,80
1987,NORTHUMBERLAND,69
1987,WESTMORELAND,69
1987,FAUQUIER,67
1987,ROCKINGHAM,55
1987,SOUTHAMPTON,46
1987,SUFFOLK CITY,60
1987,FRANKLIN,69
1987,AUGUSTA,62
1986,ACCOMACK,72
1986,ESSEX,52
1986,NORTHUMBERLAND,48
1986,WESTMORELAND,44
1986,FAUQUIER,63
1986,ROCKINGHAM,49
1986,SOUTHAMPTON,70
1986,SUFFOLK CITY,76
1986,FRANKLIN,57
1986,AUGUSTA,61
1985,ACCOMACK,112
1985,ESSEX,85
1985,NORTHUMBERLAND,97
1985,WESTMORELAND,88
1985,FAUQUIER,75
1985,ROCKINGHAM,104
1985,SOUTHAMPTON,112
1985,SUFFOLK CITY,118
1985,FRANKLIN,99
1985,AUGUSTA,102
1984,ACCOMACK,135
1984,ESSEX,105
1984,NORTHUMBERLAND,114
1984,WESTMORELAND,119
1984,FAUQUIER,108
1984,ROCKINGHAM,110
1984,SOUTHAMPTON,93
1984,SUFFOLK CITY,105
1984,FRANKLIN,85
1984,AUGUSTA,107
1983,ACCOMACK,54.5
1983,ESSEX,49
1983,NORTHUMBERLAND,46.5
1983,WESTMORELAND,48.5
1983,FAUQUIER,43.5
1983,ROCKINGHAM,47
1983,SOUTHAMPTON,48.5
1983,SUFFOLK CITY,47.5
1983,FRANKLIN,37.5
1983,AUGUSTA,53.5
1982,ACCOMACK,116.5
1982,ESSEX,112.5
1982,NORTHUMBERLAND,110.5
1982,WESTMORELAND,110.5
1982,FAUQUIER,91
1982,ROCKINGHAM,111
1982,SOUTHAMPTON,108
1982,SUFFOLK CITY,112.5
1982,FRANKLIN,88
1982,AUGUSTA,97.5
1981,ACCOMACK,90
1981,ESSEX,92
1981,NORTHUMBERLAND,95
1981,WESTMORELAND,92
1981,FAUQUIER,109.5
1981,ROCKINGHAM,103.5
1981,SOUTHAMPTON,93
1981,SUFFOLK CITY,85
1981,FRANKLIN,79
1981,AUGUSTA,97
1980,ACCOMACK,51
1980,ESSEX,48
1980,NORTHUMBERLAND,54.5
1980,WESTMORELAND,52
1980,FAUQUIER,71
1980,ROCKINGHAM,80
1980,SOUTHAMPTON,46
1980,SUFFOLK CITY,46
1980,FRANKLIN,62
1980,AUGUSTA,57
