Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2021,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"490,000",
SURVEY,2021,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"345,000",
SURVEY,2021,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,160,
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"90,432,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"82,168,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,171.4,
SURVEY,2020,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"540,000",
SURVEY,2020,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"405,000",
SURVEY,2020,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,122,
SURVEY,2019,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"89,370,000",
SURVEY,2019,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"80,991,000",
SURVEY,2019,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,167.5,
SURVEY,2019,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"540,000",
SURVEY,2019,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"380,000",
SURVEY,2019,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,144,
SURVEY,2018,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"88,821,000",
SURVEY,2018,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"81,169,000",
SURVEY,2018,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,176.4,
SURVEY,2018,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"485,000",
SURVEY,2018,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"325,000",
SURVEY,2018,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,146,
SURVEY,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"90,167,000",
SURVEY,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"82,733,000",
SURVEY,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,176.6,
SURVEY,2017,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"500,000",
SURVEY,2017,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"340,000",
SURVEY,2017,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,140,
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"94,004,000",
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"86,748,000",
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,174.6,
SURVEY,2016,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"490,000",
SURVEY,2016,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"340,000",
SURVEY,2016,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,148,
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"88,019,000",
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"80,753,000",
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,168.4,
SURVEY,2015,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"450,000",
SURVEY,2015,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"300,000",
SURVEY,2015,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,161,
SURVEY,2014,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"90,597,000",
SURVEY,2014,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"83,146,000",
SURVEY,2014,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,171,
SURVEY,2014,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"500,000",
SURVEY,2014,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"350,000",
SURVEY,2014,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,145,
SURVEY,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"95,365,000",
SURVEY,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"87,461,000",
SURVEY,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,158.1,
SURVEY,2013,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"510,000",
SURVEY,2013,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"360,000",
SURVEY,2013,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,154,
SURVEY,2012,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"97,291,000",
SURVEY,2012,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"87,365,000",
SURVEY,2012,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,123.1,
SURVEY,2012,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"510,000",
SURVEY,2012,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"350,000",
SURVEY,2012,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,103,
SURVEY,2011,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"91,936,000",
SURVEY,2011,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"83,879,000",
SURVEY,2011,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,146.8,
SURVEY,2011,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"490,000",
SURVEY,2011,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"340,000",
SURVEY,2011,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,118,
SURVEY,2010,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"88,192,000",
SURVEY,2010,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"81,446,000",
SURVEY,2010,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,152.6,
SURVEY,2010,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"490,000",
SURVEY,2010,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"310,000",
SURVEY,2010,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,67,
SURVEY,2009,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"86,382,000",
SURVEY,2009,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"79,490,000",
SURVEY,2009,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,164.4,
SURVEY,2009,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"480,000",
SURVEY,2009,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"330,000",
SURVEY,2009,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,131,
SURVEY,2008,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"85,982,000",
SURVEY,2008,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"78,570,000",
SURVEY,2008,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,153.3,
SURVEY,2008,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"470,000",
SURVEY,2008,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"340,000",
SURVEY,2008,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,108,
SURVEY,2007,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"93,527,000",
SURVEY,2007,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"86,520,000",
SURVEY,2007,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,150.7,
SURVEY,2007,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"540,000",
SURVEY,2007,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"405,000",
SURVEY,2007,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,86,
SURVEY,2006,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"78,327,000",
SURVEY,2006,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"70,638,000",
SURVEY,2006,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,149.1,
SURVEY,2006,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"480,000",
SURVEY,2006,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"345,000",
SURVEY,2006,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,120,
SURVEY,2005,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"81,779,000",
SURVEY,2005,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"75,117,000",
SURVEY,2005,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,147.9,
SURVEY,2005,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"490,000",
SURVEY,2005,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"360,000",
SURVEY,2005,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,118,
SURVEY,2004,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"80,929,000",
SURVEY,2004,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"73,631,000",
SURVEY,2004,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,160.3,
SURVEY,2004,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"500,000",
SURVEY,2004,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"360,000",
SURVEY,2004,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,145,
SURVEY,2003,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"78,603,000",
SURVEY,2003,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"70,944,000",
SURVEY,2003,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,142.2,
SURVEY,2003,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"470,000",
SURVEY,2003,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"330,000",
SURVEY,2003,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,115,
SURVEY,2002,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"78,894,000",
SURVEY,2002,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"69,330,000",
SURVEY,2002,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,129.3,
SURVEY,2002,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"500,000",
SURVEY,2002,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"325,000",
SURVEY,2002,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,68,
SURVEY,2001,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"75,702,000",
SURVEY,2001,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"68,768,000",
SURVEY,2001,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,138.2,
SURVEY,2001,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"470,000",
SURVEY,2001,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"330,000",
SURVEY,2001,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,123,
SURVEY,2000,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"79,551,000",
SURVEY,2000,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"72,440,000",
SURVEY,2000,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,136.9,
SURVEY,2000,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"470,000",
SURVEY,2000,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"330,000",
SURVEY,2000,YEAR,,STATE,VIRGINIA,51,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,146,
SURVEY,1999,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"77,386,000",
SURVEY,1999,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"70,487,000",
SURVEY,1999,YEAR,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,133.8,
